First Name,Last Name,Company,Email,Website,City,Google Maps URL
,,La Shuk,rest@lashuk.biz,http://www.la-shuk.co.il/,Tel Aviv,https://maps.google.com/?cid=4438180702074238775&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Night Kitchen מטבח לילה,maja@email.com,http://ontopo.com/20745964?source=google,Tel Aviv,https://maps.google.com/?cid=6679594209564973860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Vermuteria,VERMUTERIATLV@GMAIL.COM,http://www.vermuteria.co.il/,Tel Aviv,https://maps.google.com/?cid=7188829969244203771&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Café Noir,alon@noirgroup.co.il,https://www.cafenoir.co.il/,Tel Aviv,https://maps.google.com/?cid=6143719753392556059&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Pereh,maja@email.com,http://ontopo.com/he/il/page/45923189?source=google,Tel Aviv,https://maps.google.com/?cid=10104654013675887899&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Haachim,contact@haachim.co.il,http://www.haachim.co.il/,Tel Aviv,https://maps.google.com/?cid=12832236306590062449&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Ouzeria,office@ouzeria.co.il,http://www.ouzeria.co.il/,Tel Aviv,https://maps.google.com/?cid=10214284614297594225&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Baba Yaga,info@babayaga.co.il,http://www.babayaga.co.il/,Tel Aviv,https://maps.google.com/?cid=5168750921972025812&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Maza,maja@email.com,https://ontopo.com/he/il/page/36234429?source=google,Tel Aviv,https://maps.google.com/?cid=7930295159797775182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Bar 51,Bar51tlv@gmail.com,https://www.bar51tlv.com/,Tel Aviv,https://maps.google.com/?cid=17323122169108976496&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Shila,no-reply@shila-rest.co.il,https://www.shila-rest.co.il/,Tel Aviv,https://maps.google.com/?cid=8961865688345507425&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Mashya,info@www.mashya.co.il,http://www.mashya.co.il/,Tel Aviv,https://maps.google.com/?cid=12551798299231993066&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Dallal Restaurant,marina@dallal.co.il,https://www.dallal.co.il/,Tel Aviv,https://maps.google.com/?cid=14161580275386188186&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,קציר - Katzir Restaurant,restaurant.telaviv@kempinski.com,https://www.kempinski.com/en/the-david-kempinski-tel-aviv/restaurants-bars/katzir,Tel Aviv,https://maps.google.com/?cid=6684385577593968471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Sun Young,info@sunyoung.co.il,https://sunyoung.co.il/,Tel Aviv,https://maps.google.com/?cid=8920671839363947815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Café Shneor,2orcaffe@gmail.com,http://www.shneor-cafe.com/,Tel Aviv,https://maps.google.com/?cid=17773006098489625039&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,a,aresttlv@gmail.com,https://www.arestaurant.co.il/,Tel Aviv,https://maps.google.com/?cid=1160539894312976452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Rama - ראמה,maja@email.com,http://ontopo.com/he/il/page/54040297?source=google,Tel Aviv,https://maps.google.com/?cid=18065547908258489446&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Eisan Thai Restaurant,praiyaja@gmail.com,http://www.eisan.co.il/,Tel Aviv,https://maps.google.com/?cid=9023196314290169774&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,אלברט 1943 - Albert 1943 Bar & Restaurant,maja@email.com,https://ontopo.com/he/il/page/19084594?source=google,Tel Aviv,https://maps.google.com/?cid=15668533308939420418&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Balinjera,fantaprada25@gmail.com,https://balinjera.com/,Tel Aviv,https://maps.google.com/?cid=1269921913617066567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,7to1 Lab,maja@email.com,https://ontopo.co.il/7to1LAB?source=google,Tel Aviv,https://maps.google.com/?cid=10745910617054960728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Pastel restaurant,managerpastel@gmail.com,http://www.pastel-tlv.com/,Tel Aviv,https://maps.google.com/?cid=12803097248621536148&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Gaijin izakaya,maja@email.com,http://ontopo.com/he/il/page/97659206?source=google,Tel Aviv,https://maps.google.com/?cid=13631293616783419250&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Machneyuda,info@mjlm.co.il,http://www.machneyuda.co.il/,Jerusalem,https://maps.google.com/?cid=3238945140610761052&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Satya,satyajerusalem@gmail.com,https://www.satya.co.il/,Jerusalem,https://maps.google.com/?cid=1022584505866472054&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
,,Mojo's,itsmojos@gmail.com,http://itsmojos.com/,Jerusalem,https://maps.google.com/?cid=2785100997938112886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
